Actual Delivery Date;CustomerKey;DateKey;Discount Amount;Invoice Date;Invoice Number;Item Class;Item Number;Item;Line Number;List Price;Order Number;Promised Delivery Date;Sales Amount;Sales Amount Based on List Price;Sales Cost Amount;Sales Margin Amount;Sales Price;Sales Quantity;Sales Rep;U/M;Address Number;Region Code;Division
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
28/04/2019;10000481;28/04/2018;-23791;30/04/2018;100012;;0;Urban Large Eggs;2000;0;200015;28/04/2019;23791;0;0;23791;23791;1;184;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
03/01/2019;10000481;03/01/2018;16812;05/01/2018;330000;P01;30283;Even Better 2% Milk;1000;13217;124466;03/01/2019;22839;39651;163419;64971;7613;3;134;EA;10000481;4;2
